date,open,close,high,low,volume,amount
2024-12-23,51.911,52.491,53.281,51.831,340255.0,1786032520.5
2024-12-24,52.301,52.681,52.831,52.301,236492.0,1245863505.2
2024-12-25,53.731,51.871,54.231,51.731,382330.0,1983183943.0
2024-12-26,51.501,51.741,52.301,51.231,204623.0,1058739864.3
2024-12-27,51.631,51.021,51.711,50.551,320379.0,1634605695.9
2024-12-30,50.781,52.331,52.631,50.751,335452.0,1755453861.2
2024-12-31,52.311,51.271,52.311,51.251,272688.0,1398098644.8
2025-01-02,51.26,49.29,51.52,48.93,350818.0,1886594130.0
2025-01-03,49.28,48.6,49.81,48.44,257327.0,1362899260.0
2025-01-06,48.92,49.13,49.73,48.04,306606.0,1618876876.0
2025-01-07,48.83,48.61,48.88,47.68,283194.0,1471841339.0
2025-01-08,48.39,48.14,48.77,47.36,226504.0,1175324845.0
2025-01-09,48.22,48.84,49.88,48.22,216653.0,1147627683.0
2025-01-10,49.7,49.59,50.53,49.17,334537.0,1798150094.0
2025-01-13,48.86,49.4,49.86,48.67,200885.0,1067634276.0
2025-01-14,50.04,51.23,51.58,49.75,326687.0,1790246506.0
2025-01-15,51.13,49.51,51.13,48.76,387271.0,2065578447.0
2025-01-16,50.05,49.76,50.99,49.44,220881.0,1190559739.0
2025-01-17,49.45,49.23,49.8,49.11,209879.0,1114921400.0
2025-01-20,49.85,52.26,52.92,49.85,578833.0,3231516812.0
2025-01-21,52.26,51.72,52.53,50.74,379054.0,2094589728.0
2025-01-22,51.51,50.8,51.86,50.6,223447.0,1223763973.0
2025-01-23,51.33,50.61,51.78,50.6,233257.0,1281175321.0
2025-01-24,50.58,52.09,53.23,50.41,480684.0,2684705686.0
2025-01-27,52.1,51.59,52.51,51.56,219337.0,1221098269.0
2025-02-05,52.13,52.22,52.48,51.51,269885.0,1510235646.0
2025-02-06,52.23,54.28,54.59,51.92,470491.0,2701326518.0
2025-02-07,54.64,54.4,55.23,53.63,436211.0,2540693579.0
2025-02-10,54.21,54.83,55.41,54.18,301618.0,1767213338.0
2025-02-11,55.03,53.74,55.09,53.73,242115.0,1400739814.0
2025-02-12,53.76,53.86,54.01,53.19,272208.0,1563450645.0
2025-02-13,53.83,53.09,54.3,52.98,247498.0,1414849795.0
2025-02-14,53.28,55.71,56.39,53.28,723356.0,4277011221.0
2025-02-17,57.07,58.55,58.79,56.33,766883.0,4728948102.0
2025-02-18,58.23,57.71,59.15,57.41,478964.0,2969134655.0
2025-02-19,57.41,58.73,60.21,57.03,493715.0,3083743488.0
2025-02-20,58.71,60.59,61.11,58.44,531287.0,3403685653.0
2025-02-21,60.73,64.64,65.48,60.73,753723.0,5036733304.0
2025-02-24,63.43,59.84,63.43,59.63,965106.0,6289004446.0
2025-02-25,57.93,58.71,59.53,57.93,525984.0,3288243065.0
2025-02-26,59.23,60.66,60.86,59.05,430342.0,2745377078.0
2025-02-27,59.98,58.68,60.67,58.09,511397.0,3217392434.0
2025-02-28,58.12,57.36,58.83,56.88,426529.0,2616702063.0
2025-03-03,57.67,56.9,58.23,56.27,403761.0,2466406373.0
2025-03-04,56.33,56.61,56.89,55.88,316723.0,1906980815.0
2025-03-05,57.09,56.13,57.16,55.75,258607.0,1552816877.0
2025-03-06,56.73,58.61,58.97,56.73,438067.0,2720136680.0
2025-03-07,58.23,58.74,59.38,58.08,349128.0,2186480023.0
2025-03-10,59.57,58.23,59.72,57.59,288093.0,1789752477.0
2025-03-11,57.12,57.86,58.04,56.94,225145.0,1379240872.0
2025-03-12,57.98,57.82,58.95,57.63,200124.0,1237020006.0
2025-03-13,57.8,57.33,58.2,57.01,170318.0,1042461038.0
2025-03-14,57.58,60.14,60.64,57.34,559670.0,3547247555.0
2025-03-17,60.43,60.26,60.73,59.65,259844.0,1663436487.0
2025-03-18,64.03,65.91,66.66,63.43,978984.0,6809954748.0
2025-03-19,65.92,66.23,66.91,65.46,549035.0,3841716052.0
2025-03-20,66.24,65.8,66.76,64.55,391345.0,2721708477.0
2025-03-21,65.39,63.21,65.8,62.95,470393.0,3177821204.0
2025-03-24,63.25,63.59,64.03,63.03,278489.0,1872267727.0
2025-03-25,63.56,62.82,64.12,62.66,211481.0,1415929880.0
2025-03-26,62.82,61.97,63.37,61.85,215777.0,1427213299.0
2025-03-27,61.73,64.23,64.35,61.62,365477.0,2450658942.0
2025-03-28,64.2,64.02,65.7,63.81,291557.0,1989813284.0
2025-03-31,63.33,63.55,64.71,63.11,226716.0,1530323032.0
2025-04-01,63.93,64.46,66.23,63.7,478781.0,3304120345.0
2025-04-02,64.46,62.28,64.46,62.0,383466.0,2555881701.0
