date,code,name,side,price,shares,amount,decision_id,source,note
2026-09-08,510300,沪深300ETF,买入,4.641,258900,1201554.9,D2026090701,auto,人工回填实际成交价
2026-09-08,601318,中国平安,买入,56.12,21200,1189744.0,D2026090703,auto,人工回填实际成交价
2026-09-08,601899,紫金矿业,买入,33.75,36500,1231875.0,D2026090702,auto,人工回填实际成交价
2026-09-09,600900,长江电力,买入,27.839,13500,375826.5,D2026090801,manual,人工回填实际成交价
2026-09-09,601899,紫金矿业,卖出,33.86,18200,616252.0,D20260909M01,manual,人工主动减仓（同花顺实际成交）
2026-09-10,601899,紫金矿业,买入,34.12,16700,569804.0,D2026090901,manual,人工回填实际成交价
2026-09-10,601918,新集能源,买入,10.48,5000,52400.0,D20260910M01,manual,人工主动建仓（同花顺实际成交）
2026-09-10,600900,长江电力,买入,28.01,5000,140050.0,D20260910M02,manual,人工主动加仓（同花顺实际成交）
2026-09-10,000333,美的集团,买入,85.87,500,42935.0,D20260910M03,manual,人工主动建仓·第1笔（同花顺实际成交）
2026-09-10,000333,美的集团,买入,85.86,4500,386370.0,D20260910M03,manual,人工主动建仓·第2笔（同花顺实际成交）
